Pack														Map													Zone																																																																																									Connections													
Field count							Options																					Type					Restrictions				Player towns					Neutral towns					Town types										Minimum mines							Mine Density							Terrain											Monsters													Treasure									Options												Zones		Options							Restrictions			
																											8			x		8	1	3	2	3																																				x										strong		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				-160 20					3		1	x	5	6	12500							1	3	2	3	
																											9			x		8	1	3	2	3																																				x										strong		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				-60 -80					3		1	x	5	7	12500							1	3	2	3	
																											10			x		8	1	3	2	3																																				x										strong		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				40 20					3		1	x														
														South of Hell	9	99	+57 +58 +59 +83 +126 +127 +128 +161 				+15 0 d d d d +27 0 d d d d +37 0 d d d d +80 0 d d d d +35 0 d d d d +16 23 d d d d +16 25 d d d d +16 28 d d d d +145 0 d d d d +10 n 15000 d d d +13 0 d d d d +13 1 d d d d +13 2 d d d d 				x		1	x				20	1	2	3	3	1	1	1								x	x	x	x	x	x	x	x	x	x	1	1	1	1	1	1	1												x							avg	x												500	3000	10	3000	9000	4	9000	30000	2				-560 -520					3		1	x	1	4	0	x						1	2	3	3	
																											2	x				20	1	2	3	3	2	1	1								x	x	x	x	x	x	x	x	x	x	1	1	1	1	1	1	1												x							avg	x												500	3000	10	3000	9000	4	9000	30000	2				-560 -440					3		1	x	1	8	8000							1	2	3	3	
																											3		x			35	1	2	3	3	3	2	3											x							2	2	2	2	2	2	2																x			strong	x												500	3000	12	3000	9000	5	9000	30000	4				-640 -330					3		1	x	2	4	0	x						1	2	3	3	
																											4			x		40	1	2	3	3						1					x	x	x	x	x	x	x	x	x	x	1	1	1	1	1	1	1									x	x	x	x	x	x	x	x	x	x	avg	x												1000	4000	12	4000	9000	4	9000	40000	1				-460 -480					3		1	x	2	9	8000							1	2	3	3	
																											5			x		10	1	2	3	3																																				x	x	x	x	x	x	x	x	x	x	avg	x												500	3000	4	3000	9000	2	9000	30000	1				-460 -330					3		1	x	3	5	3000							1	2	3	3	
																											6			x		15	1	2	3	3																																				x	x	x	x	x	x	x	x	x	x	avg	x												500	3000	6	3000	9000	2	9000	30000	1				-560 -370					3		1	x	3	6	6000							1	2	3	3	
																											7			x		15	1	2	3	3																																				x	x	x	x	x	x	x	x	x	x	avg	x												500	3000	6	3000	9000	2	9000	30000	1				-560 -290					3		1	x	3	7	6000							1	2	3	3	
																											8			x		5	1	2	3	3																																				x	x	x	x	x	x	x	x	x	x	none		x	x	x	x	x	x	x	x	x	x	x	500	3000	2	0	0	0	0	0	0				-640 -520					3		1	x	3	10	10000							1	2	3	3	
																											9			x		5	1	2	3	3																																				x	x	x	x	x	x	x	x	x	x	none		x	x	x	x	x	x	x	x	x	x	x	500	3000	2	0	0	0	0	0	0				-640 -440					3		1	x	4	5	0	x						1	2	3	3	
																											10			x		5	1	2	3	3																																				x	x	x	x	x	x	x	x	x	x	none		x	x	x	x	x	x	x	x	x	x	x	500	3000	2	0	0	0	0	0	0				-700 -330					3		1	x	5	6	3000							1	2	3	3	
																											11			x		15	1	2	3	3						1					x	x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	x	x	avg	x												500	3000	8	3000	9000	3	9000	30000	1				-700 -480					3		1	x	5	7	3000							1	2	3	3	
																																																																																																																				8	11	3000							1	2	3	3	
																																																																																																																				9	11	3000							1	2	3	3	
																																																																																																																				10	11	3000							1	2	3	3	
														Worlds at War	16	99	+57 +58 +59 +83 +126 +127 +128 +161 				+15 0 d d d d +27 0 d d d d +37 0 d d d d +80 0 d d d d +35 0 d d d d +16 23 d d d d +16 25 d d d d +16 28 d d d d +145 0 d d d d +10 n 15000 d d d +13 0 d d d d +13 1 d d d d +13 2 d d d d 				x		1	x				15	1	2	5	5	1		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg	x												500	3000	8	3000	6000	6	10000	15000	1				-140 -180					3		1	x	1	6	3000							1	2	5	5	
																											2	x				15	1	2	5	5	2		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg	x												500	3000	8	3000	6000	6	10000	15000	1				-140 140					3		1	x	2	8	3000							1	2	5	5	
																											3		x			15	1	2	5	5	3		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg	x												500	3000	8	3000	6000	6	10000	15000	1				140 140					3		1	x	3	12	4500							1	2	5	5	
																											4		x			15	1	2	5	5	4		1								x	x	x	x	x	x	x	x	x	x	1		1												x											avg	x												500	3000	8	3000	6000	6	10000	15000	1				140 -180					3		1	x	4	14	4500							1	2	5	5	
																											5		x			15	1	2	5	5	5		1								x	x	x	x	x	x	x	x	x	x	1	1	1	1	1	1	1								x											avg	x												500	3000	8	3000	6000	6	10000	15000	1				200 -20					3		1	x	5	9	6000							1	2	5	5	
																											6			x		30	1	2	5	5																								1		1													x	x						avg		x	x	x	x	x	x	x	x	x	x	x	500	8000	8	3000	15000	6	10000	15000	1				-80 -100					3		1	x	5	15	3000							1	2	5	5	
																											7			x		20	1	2	5	5																						1		1	1	1	1									x										avg		x	x	x	x	x	x	x	x	x	x	x	500	3000	6	3000	6000	6	15000	20000	3				-180 -20					3		1	x	5	16	3000							1	2	5	5	
																											8			x		30	1	2	5	5																								1		1															x					avg		x	x	x	x	x	x	x	x	x	x	x	500	8000	8	3000	15000	6	10000	15000	1				-80 60					3		1	x	6	7	12500							1	2	5	5	
																											9			x		10	1	2	5	5																																						x								none		x	x	x	x	x	x	x	x	x	x	x	500	3000	8										140 -20					3		1	x	6	8	6000							1	2	5	5	
																											10			x		15	1	2	5	5							1				x	x	x	x	x	x	x	x	x	x	1		1												x											none		x	x	x	x	x	x	x	x	x	x	x				500	3000	8							-20 -180					3		1	x	6	10	4500							1	2	5	5	
																											11			x		15	1	2	5	5							1				x	x	x	x	x	x	x	x	x	x	1		1												x											none		x	x	x	x	x	x	x	x	x	x	x				500	3000	8							-20 140					3		1	x	6	13	6000							1	2	5	5	
																											12			x		20	1	2	5	5							1				x	x	x	x	x	x	x	x	x	x	1	1	1	1	1	1									x											avg		x	x	x	x	x	x	x	x	x	x	x	500	3000	8	3000	6000	4	10000	20000	3				100 60					3		1	x	7	8	12500							1	2	5	5	
																											13			x		35	1	2	5	5											x	x	x	x	x	x	x	x	x	x							1									x										strong		x	x	x	x	x	x	x	x	x	x	x	5000	20000	6	10000	20000	6	500	3000	10				60 -20					3		1	x	8	11	4500							1	2	5	5	
																											14			x		20	1	2	5	5							1				x	x	x	x	x	x	x	x	x	x	1	1	1	1	1	1									x											avg		x	x	x	x	x	x	x	x	x	x	x	500	3000	8	3000	6000	4	10000	20000	3				100 -100					3		1	x	8	13	6000							1	2	5	5	
																											15			x		20	1	2	5	5							1				x	x	x	x	x	x	x	x	x	x	1	1	1	1	1	1									x											avg		x	x	x	x	x	x	x	x	x	x	x	500	3000	8	3000	6000	4	10000	20000	3				260 20					3		1	x	9	13	6000							1	2	5	5	
																											16			x		20	1	2	5	5							1				x	x	x	x	x	x	x	x	x	x	1	1	1	1	1	1									x											avg		x	x	x	x	x	x	x	x	x	x	x	500	3000	8	3000	6000	4	10000	20000	3				260 -60					3		1	x	12	13	4500							1	2	5	5	
																											17			x		10	1	2	5	5																											1											x								none		x	x	x	x	x	x	x	x	x	x	x	500	3000	8										-20 -20					3		1	x	13	14	4500							1	2	5	5	
																																																																																																																				13	17	12500							1	2	5	5	
														Meeting in Muzgob	16	99	+57 +58 +59 +83 +126 +127 +128 +161 				+15 0 d d d d +27 0 d d d d +37 0 d d d d +80 0 d d d d +35 0 d d d d +16 23 d d d d +16 25 d d d d +16 28 d d d d +145 0 d d d d +10 n 15000 d d d +13 0 d d d d +13 1 d d d d +13 2 d d d d 				x		1	x				15	1	6	8	8	1		1								x	x	x	x	x	x	x	x	x	x	1		1				1											x								avg		x	x	x	x	x	x	x	x	x	x	x	500	3000	6	3000	6000	2	15000	20000	1				200 -140					3		1	x	1	14	6000							1	6	8	8	
																											2		x			20	1	6	8	8	8		1								x	x	x	x	x	x	x	x	x	x	1		1				1											x								avg		x	x	x	x	x	x	x	x	x	x	x	500	3000	6	3000	6000	2	15000	20000	1				250 -60					3		1	x	2	14	6000							1	6	8	8	
